date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-02-16,7.03,7.13,7.12,7.02,449383.03,0.07,0.99,7.01,6.946,6.905,589203.65,505963.72,465748.34,0.66
2017-02-15,6.97,7.18,7.05,6.96,1018106.31,0.07,1.0,6.966,6.922,6.888,642373.2,480736.76,477367.36,1.5
2017-02-14,6.96,6.99,6.98,6.94,377160.03,0.01,0.14,6.948,6.907,6.871,564441.68,395584.5,441097.08,0.56
2017-02-13,6.93,7.04,6.97,6.91,562206.25,0.04,0.58,6.93,6.898,6.86,556600.14,389712.09,437648.17,0.83
2017-02-10,6.91,6.97,6.93,6.9,539162.62,0.03,0.43,6.908,6.889,6.85,490192.72,358790.14,422950.06,0.79
2017-02-09,6.96,6.99,6.9,6.88,715230.81,-0.06,-0.86,6.882,6.884,6.842,422723.8,344786.04,415190.94,1.05
2017-02-08,6.88,6.97,6.96,6.87,628448.69,0.07,1.02,6.878,6.878,6.834,319100.32,299765.06,400787.81,0.93
2017-02-07,6.85,6.89,6.89,6.84,337952.31,0.03,0.44,6.866,6.868,6.823,226727.32,281010.9,389614.59,0.5
2017-02-06,6.8,6.86,6.86,6.8,230169.19,0.06,0.88,6.866,6.863,6.813,222824.05,290799.84,395619.95,0.34
2017-02-03,6.88,6.88,6.8,6.79,201818.0,-0.08,-1.16,6.87,6.863,6.804,227387.55,382520.92,395147.15,0.3
2017-01-26,6.91,6.91,6.88,6.85,197113.41,-0.02,-0.29,6.886,6.863,6.794,266848.29,425532.95,399968.11,0.29
2017-01-25,6.87,6.92,6.9,6.85,166583.7,0.01,0.14,6.878,6.853,6.782,280429.81,473997.96,403550.72,0.25
2017-01-24,6.88,6.95,6.89,6.86,318435.94,0.01,0.14,6.87,6.835,6.771,335294.48,486609.66,406782.93,0.47
2017-01-23,6.88,6.91,6.88,6.86,252986.69,0.0,0.0,6.86,6.821,6.759,358775.63,485584.24,412292.5,0.37
2017-01-20,6.83,6.9,6.88,6.81,399121.69,0.04,0.58,6.856,6.811,6.749,537654.29,487109.99,418953.29,0.59
2017-01-19,6.85,6.88,6.84,6.8,265021.03,-0.02,-0.29,6.84,6.799,6.745,584217.61,485595.83,416689.87,0.39
2017-01-18,6.84,6.92,6.86,6.8,440907.06,0.02,0.29,6.828,6.79,6.741,667566.11,501810.56,425490.16,0.65
2017-01-17,6.83,6.85,6.84,6.77,435841.66,-0.02,-0.29,6.8,6.777,6.73,637924.84,498218.28,423106.47,0.64
2017-01-16,6.76,6.92,6.86,6.7,1147380.0,0.06,0.88,6.782,6.763,6.72,612392.86,500440.06,421936.28,1.69
2017-01-13,6.78,6.83,6.8,6.69,631938.31,0.02,0.29,6.766,6.744,6.71,436565.69,407773.38,382064.41,0.93
2017-01-12,6.7,6.94,6.78,6.67,681763.5,0.06,0.89,6.758,6.725,6.703,386974.05,374403.27,379066.12,1.0
2017-01-11,6.75,6.81,6.72,6.7,292700.72,-0.03,-0.44,6.752,6.711,6.703,336055.02,333103.48,360347.26,0.43
2017-01-10,6.78,6.84,6.75,6.74,308181.78,-0.03,-0.44,6.754,6.706,6.704,358511.72,326956.21,363803.62,0.45
2017-01-09,6.75,6.8,6.78,6.73,268244.12,0.02,0.3,6.744,6.696,6.704,388487.25,339000.77,387614.77,0.4
2017-01-06,6.73,6.83,6.76,6.72,383980.12,0.01,0.15,6.722,6.687,6.709,378981.07,350796.59,397479.01,0.57
2017-01-05,6.73,6.76,6.75,6.68,427168.34,0.02,0.3,6.692,6.69,6.713,361832.49,347783.92,403770.8,0.63
