date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-15,7.87,7.98,7.84,7.82,264811.03,-0.08,-1.01,7.992,7.951,7.813,363426.43,323911.74,333845.23,0.39
2017-06-14,8.07,8.07,7.92,7.85,401418.88,-0.17,-2.1,8.008,7.958,7.802,352452.44,339304.5,333329.8,0.59
2017-06-13,8.1,8.12,8.09,8.03,219768.8,-0.01,-0.12,8.002,7.946,7.784,327283.17,335787.9,324738.6,0.32
2017-06-12,8.01,8.19,8.1,7.98,521494.97,0.09,1.12,7.972,7.907,7.757,332553.72,344664.31,324738.02,0.77
2017-06-09,7.9,8.07,8.01,7.9,409638.47,0.09,1.14,7.932,7.865,7.731,292918.21,322337.09,323254.29,0.6
2017-06-08,7.91,7.95,7.92,7.84,209941.06,0.03,0.38,7.91,7.837,7.705,284397.04,306146.09,315323.65,0.31
2017-06-07,7.9,7.96,7.89,7.86,275572.53,-0.05,-0.63,7.908,7.815,7.686,326156.57,342203.54,328537.89,0.41
2017-06-06,7.86,7.96,7.94,7.81,246121.55,0.04,0.51,7.89,7.785,7.666,344292.63,348887.22,344442.0,0.36
2017-06-05,7.94,8.04,7.9,7.84,323317.44,0.0,0.0,7.842,7.745,7.64,356774.91,342023.54,345584.43,0.48
2017-06-02,7.88,8.01,7.9,7.86,367032.62,-0.01,-0.13,7.798,7.709,7.614,351755.97,339163.93,338407.37,0.54
2017-06-01,7.79,7.94,7.91,7.75,418738.72,0.11,1.41,7.764,7.675,7.588,327895.13,343778.72,330805.51,0.62
2017-05-31,7.76,7.82,7.8,7.66,366252.84,0.1,1.3,7.722,7.646,7.561,358250.5,327355.09,322979.86,0.54
2017-05-26,7.67,7.76,7.7,7.62,308532.91,0.02,0.26,7.68,7.621,7.545,353481.81,313689.3,313958.24,0.45
2017-05-25,7.69,7.76,7.68,7.66,298222.75,-0.05,-0.65,7.648,7.607,7.534,327272.18,304811.72,313328.37,0.44
2017-05-24,7.69,7.74,7.73,7.61,247728.45,0.03,0.39,7.62,7.597,7.528,326571.89,324171.48,316124.65,0.37
2017-05-23,7.57,7.71,7.7,7.54,570515.56,0.11,1.45,7.586,7.573,7.519,359662.3,324501.22,320810.67,0.84
2017-05-22,7.52,7.61,7.59,7.41,342409.38,0.05,0.66,7.57,7.556,7.513,296459.69,314872.24,316781.36,0.5
2017-05-19,7.5,7.56,7.54,7.47,177484.77,0.0,0.0,7.562,7.547,7.508,273896.79,339996.77,313638.26,0.26
2017-05-18,7.52,7.58,7.54,7.47,294721.28,-0.02,-0.27,7.566,7.534,7.501,282351.26,349145.31,318093.91,0.43
2017-05-17,7.62,7.77,7.56,7.56,413180.5,-0.06,-0.79,7.574,7.518,7.491,321771.08,337650.82,320849.42,0.61
2017-05-16,7.55,7.64,7.62,7.48,254502.5,0.07,0.93,7.56,7.5,7.48,289340.14,317832.3,320314.38,0.38
2017-05-15,7.56,7.58,7.55,7.5,229594.89,-0.01,-0.13,7.542,7.475,7.474,333284.8,318604.63,334811.28,0.34
2017-05-12,7.57,7.6,7.56,7.48,219757.12,-0.02,-0.26,7.532,7.469,7.483,406096.76,314227.19,342124.08,0.32
2017-05-11,7.45,7.6,7.58,7.43,491820.38,0.09,1.2,7.502,7.461,7.498,415939.36,321845.03,350905.65,0.72
2017-05-10,7.53,7.53,7.49,7.41,251025.81,-0.04,-0.53,7.462,7.458,7.507,353530.56,308077.83,351666.63,0.37
